question,answer
Will  My  Homeowners  Insurance  Cover  Mold  Damage?," There are hundreds of species of mold common to the United States. Small areas of visible mold that build up on moist areas in a home not only look bad but are also a health risk, the mold may cause allergy like symptoms and/or breathing difficulties. Basic home insurance policies, generally limit coverage for mold or exclude it. It is very easy for mold to grow given suitable conditions in a home that doesn't show pride of ownership. mold claims became so excessive in prior years, the insurance industry chose to limit or exclude coverage rather than raise premium to address the growing claims. Although the standard coverage will vary from State to State as well as vary between insurance carriers, it is important to view your specific insurance policy to find out if there is coverage for mold and what the limit is.In some cases, a carrier will actually allow an extended amount of coveragefor an additional premium. It is best to maintain a clean and moisture free structure to prevent the growth of mold. In homes with a basement, it is important to remove all moisture as quickly as possible following any leaks. The Federal EPA recommends homeowners clean up any area affected by mold which is less than 10 square feet using bleach or a suitable product, any area larger than that should involve a professional."
What  Insurance  Will  I  Need  In  Retirement?," Your insurance needs do not disappear at retirement although the coverage amounts may change. Car Insurance, home owners insurance, health insurance and life insurance all play a part in a solid financial plan. You should contact an Agent and have them conduct an Insurance preview. The last thing you want in retirement is to be paying for something that you really don't need to."
What  Is  A  Cafeteria  Plan  For  Health  Insurance?," A cafeteria plan refers to the section 125 of the tax code. A cafeteria plan allows you to have dollars deducted from your payroll at your employment to pay for some health insurance costs with pretax dollars like child care or prescriptions and doctor visits expenses, and to save for retirement. While the plans may vary from employer to employer in exact details you would be smart to utilize that cafeteria plan. One word of caution- make sure any dollars saved if not used this year rolls over to the next year and that you DO NOT LOSE THE DOLLARS"
What  Auto  Insurance  Is  Required  By  Law?," If you live in a state that requires auto insurance typically the coverages that would be required are bodily injury, property damage, and uninsured motorist at minimum. Regulations are different from state to state. The amounts and types of coverage can vary greatly. Contact a local agent to know what the coverage requirements are for the state that you reside in."
Does  My  Medicare  Cover  My  Wife?, Your wife must be qualified for Medicare to receive benefits. If you are over 65 and on Medicare she can qualify based on your work history. If your wife is not yet 65 or Social Security Disability then she will have to pick up a private insurance plan until she is eligible for Medicare. She cannot be covered by your benefits.
What  Are  The  Coverage  Characteristics  Of  Home  Insurance?," A home is the largest single purchase that most people make in their lifetime. There are two characteristics that make home ownership difficult. The first is that the ownership of a home creates a situation of responsibility where you become responsible for personal injury and property damage that comes out of home ownership. For example, someone enters you home, slips on a rug and falls. Injuries can be minor or severe. It is quite possible that you could be sued to recover the loss sustained by the person who fell. This is a liability loss. The second is that you have an enormous amount of your money and the mortgage companys money invested in the home. It is usually a multiple of your annual income and would represent a great financial loss were the home to be destroyed. Your mortgage company is particularly concerned about losing their collateral and will require hazard insurance to protect their interests to the greatest extent possible. The list of things that could happen to damage a residence is lengthy but most of the causes or perils are contained in the HO-3 Homeowners policy. There are notable exceptions which should be restated. You are probably not covered for damage caused by earthquake or flood. These coverages are available but in slightly different forms and often with different policies. Because an individual cannot sustain the personal loss of a law suit or the destruction of their property they turn to an insurance company to pool their risk with hundreds of thousands of other residences. This recognizes the probability of damage and spreads that risk over a large number of residences. The insurance company charges enough to be able to pay those losses when they occur. Your state insurance commissioner is very concerned about the adequacy of the insurance companies admitted in your state. While there are various types of home insurance policies, I will confine my comments to the most common, the HO-3 Homeowners policy. Coverage A in a homeowners policy covers your residence. The coverage includes additional items but does not cover land or water. It doesnt cover trees except as covered in incidental coverages. Coverage B covers related structures on the property. It has the same restrictions as Coverage A and doesnt cover any business structures, except for a residence on the property that you lease to others. It covers you garage Coverage C covers the personal property that you either own or are responsible for. This is a very important coverage and contains internal limits on selected classes of property such as money, securities, jewelry, guns and watercraft. Misunderstandings often arise about this coverage and it should be discussed thoroughly with your insurance agent. Modifications of this coverage are relatively inexpensive and an unpaid claim is an expensive way to discover that you werent adequately covered. Coverage D pays the necessary and reasonable increase in living cost you incur when your household meets with an insured loss. The company will try to get you back into your residence as quickly as possible but will make sure that you are able to maintain your normal standard of living during the repairs. Coverage D also covers the loss of rents you might experience in the event of a covered loss. If you have an apartment on the premises and it is damaged by a covered loss, this section would apply. There are other limits and extensions in this section that require your attention if you are leasing property. There are number of ancillary coverages including credit cards, trees, fire department charges, debris removal, emergency removal of covered property and grave markers. There are several pages of definitions and exclusions which should be read. Most confusion arising from a homeowners policy come from this part of the policy. Many people think that a homeowners policy pays for routine maintenance or deterioration. Coverage L covers personal liability and provides that the company will pay up to the limits for expense that you are liable for because of bodily injury or property damage that happens on your premises. Coverage M covers medical payments to others and provides necessary medial expenses if they are incurred on your property and result in bodily injury. There are several pages of definitions and limitations on liability coverage. The policy then defines your responsibilities. You must notify the company of a loss, you must cooperate and many other responsibilities. At the back of the policy are a number of endorsements which changes the policy. These apply to specific types of property such as trading cards, animals, a roof and others. Together the HO-3 Homeowners policy is a package of protection that is sufficiently broad to meet the requirements of both lenders and homeowners. Special additional coverages are offered and should be considered. Many of these additional coverages can be included in the basic policy."
What  Is  Survivorship  Universal  Life  Insurance?," The only thing that separates this from other policies is the word survivorship. What this means is that the policy covers at least 2 individuals and it only pays a benefit with the last one dies. Survivorship policies are usually smaller face amount policies taken out by couples with larger estates. The reason they do this is to use the death benefit to cover or offset estate taxes for their heirs. I have personally not seen one done with a universal life policy. Reason being is the cost. In a majority of cases, it would probably be more cost-effective to use a traditional whole life policy for this purpose."
Does  Medicare  Pay  For  A  Walker?, Yes - Medicare covers walkers under Part B as durable medical equipment (DME) when prescribed by your doctor for use in your home. Medicare will generally pay approximately 80% of the costs - you would be responsible for the other 20%. A Medicare supplement (Medigap) plan can help cover the expenses you're responsible for paying.
How  Can  I  Get  Car  Insurance  As  A  High  Risk  Driver?, Just because you are a high risk driver doesn't mean you can't find auto insurance. As long as you have a valid driver's license and are willing to pay the required premium you should be able to find coverage. Call a local agent to find out more about coverage availability and pricing.
Which  Annuity  Is  Right  For  Me?," You have to establish product suitability before deciding on any product, much less an annuity, which should be purchased as an ultimate income product. Product suitability is based on your personal financial profile, risk tolerance and economic goals. Those three areas comprise the fundamental approach to selecting the right annuity. Annuities use differing crediting methods such as interest rates, indices (both domestic and foreign) and separate sub accounts that use equities and bond allocations."
Can  You  Get  Life  Insurance  While  Pregnant?," I just asked this question of several companies for someone I know and the answer is yes. The rating will the same as if you were not pregnant, if in the first trimesters. There are also no exam policies that you can get all the way through the third trimester."
Does  Medicare  Insurance  Cover  Dental?," Routine dental checkups, cleanings, dental x-rays, crowns, etc. are not covered under original Medicare (parts A & B). You would need to buy a separate dental insurance plan to cover these benefits. If you have a medically necessary procedure completed in a hospital such as the repair of a broken jaw, then Medicare would cover it because it was an emergency situation. I hope the information is helpful - please feel free to contact me for assistance and if you have any other questions. Thanks very much."
Can  I  Get  Life  Insurance  If  I  Have  Diabetes?, Yes you can. The rate will depend on age of onset and degree of control. You will probably pay a higher rate but you can get insurance. A good independent life insurance agent or broker can look at your individual situation and find a company that is affordable for you.
What  Company  Has  The  Best  Long  Term  Care  Insurance?," The best long term care insurance company and its product must be determined by gender, age, smoking status, health history and current health condition. That being said, there are only a half dozen or so long term care insurance companies in the brokerage market. Genworth should be considered as a leader in the long term care insurance market."
What  Is  Basic  Life  And  Ad  D  Insurance?," Basic life insurance pays a beneficiary if death of the insured person occurs by any reason (except suicide in the first two years). AD&D stands for Accidental Death and Dismemberment insurance. It pays the beneficiary if death occurs by accident, or it pays the insured person if they lose a limb. Basic Life with AD&D is most likely a policy that combines both those types of insurance."
Does  Medicare  Cover  Compounded  Drugs?," In order for compounded drugs to be covered by Medicare Part D, they must be prescribed for a medically accepted indication, they must have at least one ingredient that is FDA approved, and at least one ingredient must be covered by Medicare Part D. Only that FDA approved ingredient and the fees for mixing the drug are covered by Medicare. Bulk powders are not covered."
What  Is  Participation  Rate  In  Annuities?," Generally speaking, tax deferred index annuities use domestic and foreign indices for its crediting method. But there are three crediting method types within any one policy (sometimes more) that play a role in what you receive from the indice performance: spreads, rate caps and participation percentage. Participation determines what portion of the performance is credited to the annuity policy, i.e. 70% of a 10% net return would credited 7%."
What  Is  A  5  Year  Term  Life  Insurance  Policy?," As mentioned above, a 5 year term insurance is an insurance policy that is in force for 5 years then expires. It is designed for a short term need and or specifically for the purpose of converting to a Whole Life policy within that 5 year period. Most Term policies are convertible to permanent insurance and some companies limit the type of permanent insurance their term policies may be converted to. In converting a term to a permanent policy what happens is the face amount of the Term, or a portion of that amount is converted to a Whole Life or Universal life policy without the insured having to undergo additional medical testing or underwriting. The premiums paid to the Term policy are not credited to the new permanent policy and the new premium will be based on the current age of the insured."
How  Do  You  Set  Up  Annuities?," You will need to contact a good insurance agent who is familiar with annuities and can offer a multitude of companies. The agent can examine your needs, goals and personal circumstances and help determine if an annuity is suitable for you, and if so help direct you to an annuity that fits your circumstances. The agent will then help you apply."
When  Is  Permanent  Life  Insurance  A  Good  Idea?, When permanent life insurance is a good thing? That depends on who you ask! Some would say only if you have dependents or someone you want to leave an inheritance to. But the fact is that Whole Life is perhaps the safest way to grow your money! It offers a guaranteed interest rate and with mutual providers it also offers dividends. It is a much better vehicle to save and grow your money that any bank instruments - guaranteed returns and Liquid for your use. Also with tax benefits not offered anywhere else! So when is permanent life insurance a good thing...ALLways!
How  Long  Will  Disability  Insurance  Pay?, Disability insurance will pay benefits to the disabled person according to the terms of the policy that was purchased. The elimination period determines at what point payments start. This may be a few months to a year after the disability occurs. The duration of the plan dictates how long the Disability Insurance pays. This may be a few years all the way to age 65.
What  Is  Philippine  Prudential  Life  Insurance?," Philippine Prudential Life Insurance Company (Philippine Prudential) is a 100% Filipino owned financial services company. They offer endowment plans, whole life plans, group and permanent plans, healthcare coverage, education and pensions policies, and credit insurance. Philippine Prudential Life Insurance Company was established in 1963 and is headquartered in Pasig City, Philippines."
How  Much  Is  Life  Insurance  For  A  60  Year  Old?," There's many factors that go into the premium calculations for life insurance to say what coverage will cost for a 60 year old - it will be different for every person due to a number of factors including their age, amount of coverage they want, how long they want the coverage for, their risk classifcation, and whether they're applying with full underwriting or non-medical term coverage. At age 60, you'll have term life insurance options for 10, 15, 20, or 25 years - 30 years term insurance would not be available due to age - you would need to look at permanent programs to secure coverage longer than 25 years. If you want to consider coverage beyond 25 years, I would suggest looking at a Guaranteed Universal Life insurance policy (GUL). If you're looking for something in the $100,000, 10yr term insurance range, you could be looking at premiums as low as $28 per month (at preferred plus risk class) to over $100+ per month (if you're table-rated), it ultimately depends on the risk classification you qualify for. $250,000, 15 yr term can be as low as $82 per month or over $154 per month at standard risk class. So on and so forth. However, any numbers I quote without more details regarding your medical history will be useless. The risk classification is the MOST critical factor in determining the cost (premium) of a life insurance policy. The risk class depends on a number of factors including whether you're male or female, your medical history, prescriptions you take, your height/weight profile, any tobacco usage, family medical history, and other factors. Please keep in mind - every carrier has different underwriting guidelines, and each may offer a different risk class for a given medical profile - e.g. company A may offer preferred (featuring lower rates) and company B may only offer standard (featuring higher rates). You should always consult with an experienced life insurance broker before applying for ANY coverage. Brokers can shop the case for you among a number of insurance companies to see which one will work best for your program and help you structure a policy that will best serve your needs and your budget. I hope the information is helpful - please feel free to contact me for help and if you have any other questions. Thanks very much."
Can  You  Have  Two  Medicare  Supplements?," No - only one Medicare supplement plan will pay after Medicare pays. If you try to have 2 Medicare supplement plans, you're spending extra money on the 2nd plan for no reason because it won't pay any benefits. Only one supplement plan will pay. The cost of 2 plans would also be more than having 1 Medigap plan F that covers all 9 benefits at 100%. I hope the information is helpful - please feel free to contact me for help and if you have any questions. Thanks very much."
What  Is  The  Benefit  Of  Renters  Insurance?, Renters insurance is for renters of homes and apartments as house insurance is for those who own the house. Renters insurance protects YOUR property if there is a loss from say a fire. The biggest issue is what kind of policy you have. Does your insurance give yoy replacement cost or just current value. There is a big difference. Think about what you stuff costs today versus purchasing brand new.
Does  Life  Insurance  Cover  Alcoholism?," That is a great question! The answer is yes, unless the answer on the application about drinking was falsified, (generally along the lines of have been told they have, been treated for, or prescribed medication for alcohol abuse/dependency or addiction?, or been asked to reduce the intake of or discontinue use of drugs or alcohol?) or the death occurred as a result of a crime committed while under the influence. Many policies will not pay if the death occurs because of criminal activity, and drunk driving would fall under that category. If the death occurs from long term chronic abuse, the policy should pay, but I'd have your agent confirm that for you. Thanks for asking!"
How  Much  Is  A  Good  Life  Insurance  Policy?," Asking how much life insurance cost is like asking a realtor how much a house costs. Could be $30,000 or $30 million it depends on what you want. The factors that an agent or life insurance company would need to begin the quoting process is type of policy,how much face amount, for how long, age, build, state of residence, tobacco use andgeneral health status. From there an agent or broker can get fairly close to a premium quote but understand the underwriters have the final say on your unique premium."
Does  QDRO  Apply  To  Life  Insurance?," QDRO or a Qualified Domestic Relations Order comes through the courts in a divorce case. This order typically deals with divorce settlements concerning finances and retirement plans such as IRAs, Roth IRAs, 401Ks, 403bs and cash value life insurance plans. If you or your ex spouse owns cash value life insurance, then yes, the cash value is included in QDRO calculations. In most cases, term life insurance plans are not included in these calculations because there is no value unless a death occurs. You or your ex spouse can also be court ordered to carry a term life policy to cover alimony and or child support in case of an early death."
Can  An  80  Year  Old  Get  Long  Term  Care  Insurance?, The time to purchase Long Term Care is when you are healthy and in your fifties or sixties. I do not know of any company that will issue a Long Term Care Policy to an eighty year old and if there were the premium would be extremely high. There are some alternatives however. Some companies will offer Short Term Care or Home Health Care policies up to age 85. While not as comprehensive as a full Long Term Care policy they can help with the high cost of care when needed. There are also other planning solutions that can help. A Long Term Care Resource Planner can help find a solution.
Can  You  Cash  Out  A  Retirement  Plan?," Certainly if it is your retirement plan you can cash out. However, there are many things to consider. If you are younger than 59.5 years old you will incur income taxes and a 10% penalty plus the fees associated from companies and advisors who will charge withdrawal fees and surrender charges. It is not advised just to cash out a retirement plan at any age. I highly recommend finding a trusted advisor to walk you through this process."
Does  Renters  Insurance  Cover  Foreclosure?, Renters nor any other property insurance is designed to insurance against a foreclosure. I have to assume since you arereferencinga renters policy that you are the tenant and your landlord is beingforeclosedon forcing you to move out.Unfortunatelyform an insurance standpoint there is nothing that can be done and you will have to startshoppingfor a new home. Yourrenterspolicy can betransferredto your new address. I would further discussthesituation with your local agent.
What  Is  Private  Disability  Insurance?," Private Disability Insurance is Disability Insurance that is purchased privately vs being supplied by the insured person's employer in a group policy. Persons who are self employed, or who do not have group Disability Insurance because their employer does not offer it, are most likely to buy private Disability Insurance."
Does  Homeowners  Insurance  Cover  Pool  Damage?," Your homeowners insurance policy covers damages that are caused by specific perils. While it is possible that damage to a swimming pool could be caused by fire or another of the covered perils, I doubt that is the point of this question. Most swimming p0ool difficulties arise from earth movement and that is an excluded peril in most policies."
Why  Would  I  Need  A  Medigap  Policy?," Medicare Part A & Part B only covers about 80% of the cost of your healthcare. In addition, the 20% that you are responsible for does not have a limit. No max out of pocket or cap so if something major happens you could be left with a lot of very expensive medical bills. Millions of Americans age 65 and over buy a Medigap policy to cover what Medicare Part A & B does not. There are several plans to choose from but all Medigap Plans have a letter such as Plan F, Plan G, Plan J, etc. If it doesn't have a letter it's not a Medigap Policy. I would be happy to answer any other questions you have."
Does  Homeowners  Insurance  Cover  The  Furnace?," It is always a good idea to talk with your Insurance Professional about the specific terms and conditions of your policy. In general, however, if the damage is caused by a covered peril in your policy, then more than likely there would be coverage for such damage. Keep in mind, however, that a Home Insurance policy is not a maintenance agreement nor does it include coverage for normal wear and tear. In other woreds, if the liner fails resulting in water damage to your property or personal property, the water damage would be covered subject to your deductible, but not the repair or replacement of your furnace."
Does  Medicare  Pay  For  LPC?," No, Medicare does not pay for LPC's, or Licensed Professional Counselors, at this point in time. Legislation has been proposed to include payment for LPC's under Medicare part B. As of now, only Licensed Clinical Social Workers, PhD Psychologists, and Psychiatrists are able to be reimbursed by Medicare for persons needing counseling."
How  To  Cancel  Scotia  Life  Insurance?," To cancel Scotia Life Insurance or any other life insurance policy, the best way to cancel it is to call, email, or write the company to inform them that you are cancelling it. Their website lists their life insurance contact number as 800-387-9844. However, if you are unable to reach them, you can simply quit paying your premium and the policy will lapse by itself after one month of unpaid premium."
How  To  Know  If  Someone  Had  Life  Insurance?," To find out if someone had life insurance you will have to do some digging and asking. Most people respect making that purchase and keep a record of it somewhere. Relatives may know. You could contact a local insurance agency where that person did business. If all else fails, unclaimed life insurance will eventually be turned over to the unclaimed property files in the state where the policy was purchased."
How  Does  Health  Insurance  Affect  The  Retirement  Behavior  Of  Women?," Great question! While I do not have a degree in sociology or statistics, I can tell you what I see, working daily with retired, or near retirement aged women clients. Each and every one of them appreciate it. Most of them are no longer working, though almost all of them had expected to be. The ones that still have insurance through work or their spouses work are not burdened with the fear of being unable to get medical services. The rest of them are enrolled in Medicare, or Medicaid. Those ladies also are profoundly grateful to be able to receive medical care that is affordable. Many of those women struggle to balance medical costs with the everyday expenses of heat, food, and electricity though, as the benefits are often not enough even with Social Security to make ends meet. Without health insurance they would be in a very bad way. If this did not answer your question, (And I'll admit I'm not sure what you are asking, since having insurance or not having it probably affects them the same way it would a man, or someone younger) please feel free to contact me, I'll be happy to discuss this with you further. Thanks for asking!"
Is  A  Chiropractor  Covered  By  Medicare?," Chiropractic care is covered by Medicare in some situations. Medicare Part B pays for a chiropractor's manual manipulation of the spine to correct subluxation. If a hand held device is used during the manual manipulation, the use of the device is not covered. Initial physical exams, evaluations, X-rays, acupuncture, physical therapy, supplements and orthopedic devices prescribed or provided by a chiropractor are NOT covered."
What  Company  Has  The  Cheapest  Long  Term  Care  Insurance  In  Colorado?, In addition to Peggy's answer I would also look at all the options that are available which may or may not make sense for your situation. There are many hybrid products now that can provide you monies to cover LTC expenses but also provide other valuable coverage or funds. Look into Life Insurance which gives you access to the death benefit what you have a chronic condition. Please be aware that before you purchase any of these products I want you to understand what is covered and what is not. I am simply saying here there are alternatives versus just purchasing a Long-Term care policy which can be cost prohibited.
How  Much  Renters  Insurance  Do  I  Need  For  An  Apartment?," That is a question I get asked everyday. It truly depends on how much stuff you own and want replaced. Many insurers have a minimum amount of coverage needed for replacement coverage to be part of the policy. Typically it is $20,000. You want to have replacement coverage so that your items are replaced with new items, not depreciated costs. A TV you purchased 3 years ago is worth much less than its replacement. A good rule of thumb to use is $10,000 per room rented. This may seem like a lot at first, but when you start adding everything up over time that you have purchased, you will see that it is reasonable."
How  Much  Home  Insurance  Is  Needed?, The amount of coverage carried on a home is determined by the cost to replace the building and contents and the requirements of your lender. In California lenders cannot require coverage in excess of the cost of replacement but when prices rise lenders sometimes pressure homeowners to carry more coverage to protect their investment. The insurance company will require an independent evaluation of the reconstruction cost and your agent is the best person to help you. There has been a great deal of discussion concerning catastrophic losses where neighborhoods or communities are destroyed. The problem then is a shortage of material and contractors to restore damaged dwellings. In these circumstances building costs can escalate quickly. If you sense that you might be in such a potential situation be sure to discuss that with your agent.
Who  Is  The  Best  Auto  Insurance  Provider?," Because insurance is regulated by each state, there really is not only one answer to that question. Insurance companies are rated online for their financial strength, and customer satisfaction by several independent reporting agencies. My company posts our results on our website here: WEBSITELINK People choose different companies for different reasons, A friendly referral, price, or special features. What is most important to you?"
Where  To  Complain  About  Home  Insurance?," If you have an agent that you trust, start there. Insurance companies respond to complaints and you can usually reach the company by mail, email or in many cases, directly through the company website. The insurance commissioner in your state is also interested in your complaint. My recommendation is to approach the three levels that I mentioned one at a time, giving each sufficient time to respond. If you complain everywhere at once, it can cause a lot of confusion."
Is  Medigap  Or  Medicare  Advantage  Better?," It depends on your personal situation. I personally like Medigap if you can afford the premiums. With Medigap you will not have to worry about networks, you can go to any doctor that accepts Medicare, and your out of pocket exposure will be much less. Medicare Advantage is a good choice for those with limited funds or those who live in an area where there are strong networks, as long as you do not travel outside the area for extended periods. Medicare Advantage has the Prescription coverage embedded in the plan (in most cases) and can have very low or no premium. A good independent agent who handles both Medigap and Medicare Advantage can help guide you. Make sure the agent handles most of the plans in your area and takes time to ask about your personal situation."
When  To  Surrender  A  Life  Insurance  Policy?," When considering the surrender of a life insurance policy you have to ask yourself some questions. Does anyone I care about suffer without this life insurance policy? Who needs my income? Who would be responsible for my debt? I am wealthy enough to be sure my loved ones are taken care of financially? If you find that there is no longer that need for life insurance, then it is time to surrender the policy. Remember the increase incash value that accumulated is now taxable as income upon surrender."
What  Is  Life  Insurance  Advantages  And  Disadvantages?," The advantages of life insurance are three fold. The death benefit proceeds can pay the bills, fund future obligations and make a difference for your children and charities. The economic leverage for a healthy insured is significant and the tax advantages considerable. The diversity of the product line can be customized to the individual consumer. The only disadvantage of life insurance, like any other product, is that you have to pay for it."
Much  Does  Health  Insurance  Cost  One  Person?," The rate depends on many factors including your age, where you live, your health and whether you smoke. Monthly rates could vary between $25 per month to $250 per month (or much higher) depending on these factors. And of course, different carriers such as Anthem, Aetna, Cigna, UnitedHealthcare etc... will charge different premiums. To view rates, you can visit a reputable website that offers free online quotes. There is no obligation and you can easily apply online for coverage after viewing your best options. You may also receive a federal tax subsidy when State Exchanges are operational. Naturally, an experienced broker can also assist you."
Does  Renters  Insurance  Cover  A  Broken  Laptop?," If the laptop is broken as the result of a covered peril the renters policy will pay to make it whole. The payment will be subject to the deductible and if the computer has depreciated very much your reimbursement might not be significant. If the computer is damaged by negligence or if it simply is running out of gas, then it probably wont be covered at all."
Is  Life  Insurance  Taxable  To  The  Beneficiary  In  Illinois?," Life insurance proceeds are not taxed. The proceeds are directed to the named beneficiary. This is also a great option for estate planning. Tangible assets depending on how it's structured, may be taxed. It's best to meet with a licensed professional to design a program that can eliminate taxes to be paid. Life insurance can offset any taxes to be paid."
Can  I  Be  Denied  Health  Insurance?, At this time yes you can. However that is soon to change. Beginning in January of 2014 the affordable care act mandates that no one can be denied coverage based on pre-existing conditions. You will be able to take out a policy in or out of the exchange. You also cannot be charged more premium because of your health.
Why  Do  Kids  Need  Life  Insurance?," Since the purpose of life insurance is usually to protect someone from an economic loss that would be caused by the death of the Insured person, this is a good question. Why do kids need life insurance? In light of the stated purpose, perhaps this need does not exist in your family. If the unspeakable happened and you lost a child, you may have plenty of resources to cover final arrangements, even if there were medical bills. If not, then a life insurance policy for a child, or putting the child(ren) on a child rider on your policy, would be a valid choice. However, because I specialize in Impaired Risk life insurance (life insurance for those who have health conditions or other risk), I see the biggest advantage of kids having life insurance as ensuring they will be able to get affordable life insurance for the rest of their lives. There is a huge advantage to getting them insured while they are still healthy. E.g. A child who develops type 1 diabetes will not be able to get a life insurance policy until they are at least 16 years old, and then far above average rates will follow them the rest of their lives. If they got even a term policy before developing diabetes, the policy can later be converted to a permanent policy at the same health rating they got before they were diagnosed. If on a child rider, they can get 5 times the amount of the rider rated Standard when they become adults, no health questions asked. There is a tendency to not think about life insurance until there is a scare in one's health. Having life insurance as a child just takes care of it, no matter what the future brings."
Does  Disability  Insurance  Have  A  Cash  Value?," Disability Insurance is a morbidity product with no accumulating cash values. The benefits of a disability insurance product are not considered an asset, but an insurance claim. Although most disability insurance claims are tax free, businesses that expensed the disability insurance premiums as a tax deduction, receive the benefits taxable as ordinary income."
How  Much  Life  Insurance  Should  You  Carry?," That is an excellent question! The answer is that it depends upon what you want the insurance to do for you. If it is just to cover funeral expenses, then typically a smaller, $10-20,000 policy should be fine. If you are trying to cover mortgage, college, or other major debt that would be left to your spouse, then you want at least that much. If it is to provide a legacy for your children, then however much you'd like to bless them with is the amount needed. If it is to provide your spouse with the income lost when you pass, then you will want to do some math, and decide upon how many years' salary to choose. If you need help, please contact me, okay? I'd be happy to help. Thanks for asking!"
Does  Renters  Insurance  Cover  Stolen  Bike?," If your personal property includes a bicycle, it will be covered under a renters policy. If the bicycle is stolen from your unit it will be covered to the property limit of the policy after satisfying the deductible. If you have a $400 bicycle and it is stolen, and if your policy has a $250 deductible, you can expect a settlement in the range of $150. If the bicycle is stolen from the bicycle rack in front of the Biology building then the amount of coverage is reduced to about ten per cent of the personal property limit of the policy. Subject to that reduced limit the claim would be adjusted in the same manner."
What  Are  The  Benefits  Of  Having  Renters  Insurance?," That is a great question! The best reason to have renter's insurance is that they pay to replace the things that you have that become stolen or destroyed. Most of us do not have that kind of money. Another is that if your apartment was unlivable due to damage, the policy often covers your stay at a hotel until adequate repairs have been made. The last, and probably best benefit is that it is one less thing to have to worry about. I hope that helps, thanks for asking!"
Where  Can  I  Get  Whole  Life  Insurance?," You can get whole life insurance from an agency or website that sells it. Try calling to ask if they sell whole life in all face amounts, and ask the ratings of the companies through which their whole life insurance is sold. It the agency only sells it up to a certain face amount, they only sell final expense whole life. That is a good choice if you need final expense coverage, but to get whole life in larger face amounts, you need to make sure you are getting a competitive product."
Is  My  Child  Covered  By  My  Auto  Insurance?," Auto insurance follows the car not the driver or occupant. If your child is unlicensed and operating the car, the provisions of the policy would remain in effect. If your child is an occupant in the car and is hurt in an accident for which the driver of your car is at fault, there can be limited coverage for his medical care. If the driver of the other car is determined to be at fault your childs medical cost will ultimately be paid by the other driver. If your child is struck by a motor vehicle while a pedestrian there can be limited medical coverage."
What  Is  Medicare  Part  B  Used  For?," Medicare Part B covers most outpatient treatment that Medicare considers medically necessary. Just a few of your covered expenses include doctor visits, lab work, X-rays, CT scans, MRI, medical transport (ambulance), Emergency Room, outpatient surgery, infusion therapy in a clinic or hospital setting. Some infusion drugs are also covered by Part B."
What  Is  Covered  With  Renters  Insurance?," Your coverage will vary from policy to policy and carrier to carrier. Typically a renters insurance policy will provide coverage for losses caused by fire, smoke, lightning, and other perils. It will also typically provide some monetary coverage for accidents that occur on your covered premise that you are deemed responsible for and money to secure another place of residence after being displaced by a covered loss. Remember every policy is different. Please read your policy completely to understand the coverage provided and any exclusions that there may be or contact your local agent to have them go over the policy with you."
How  To  Borrow  From  A  Retirement  Plan?," Retirement monies are meant for your golden years. borrowing against your future is altering the lifestyle in your senior years. That said, there are emergencies that may be beyond your cash reserves and your retirement monies may be the only resource available. Most plans charge interest and require a repayment schedule. All loans must be repaid before any transfer to another plan. If your terminated, your loans must be repaid or the the plan administrator may issue a 1099."
Can  You  Keep  Auto  Insurance  Claim  Money?," Here is the thing. Insurance claim settlements are intended to pay for the repair of damage caused by a covered loss under the provisions of a policy contract, in this case an car insurance policy. If one receives a settlement and then chooses, for whatever reason not to repair the damage, I have not seen a case where an insurance company is going to be looking for it's money back. Keep in mind acouple of things, however. If you have a lien or lease on your car, the check will be made payable to BOTH you and the financial institution and they will need to have the car repaired as a condition of your agreement with them. Also, if you happen to have another incident that further damages the same car parts that were damaged previously, the claims professional will be able to tell the older damage from the more recent and will NOT include an amount needed to repair both."
Does  Home  Insurance  Cover  Central  Air?, Unless you have an equipment breakdown endorsement or policy with your homeowners coverage your central air unit will not typically be covered. Remember every policy is different. Please read your policy completely to understand the coverage provided and any exclusions that there may be or contact your local agent to have them go over the policy with you.
Can  I  Cancel  My  Health  Insurance  Without  A  Qualifying  Event?, As long as it is not a group plan or a Medicare Advantage plan you can. An individual health plan or Medicare Supplement can be cancelled at any time. A group plan may require a qualifying event in order to make changes. A Medicare Advantage plan can only be changed during the annual Open Enrollment unless there i a qualifying event.
Should  I  Buy  Long  Term  Care  Insurance  In  This  Economy?," Should you buy long-term care insurance in this economy. The most important factor is your economy. That is, if your business is insulated from some of the recent economic problems we have been facing, it should not have as big of an impact on your decision compared to most others. However, if you are concerned about your income in the next 5-15 years, this should be taken into account. Of course, you can always start with a lower amount of coverage to keep premiums lower."
What  Is  Vesting  Age  In  Life  Insurance?," Vesting does not relate to life insurance, at least, not in the common uses of the term with respect to pension plans. A policy owner owns any cash values and all policy rights. You might be referring to a surrender charge schedule which exists in many permanent policies, especially Universal Life and related types and is subtracted from the cash accumulation value in the event the policy is canceled early. A surrender charge usually applies in the first several years of the policy e.g. 3-20 years, depending on the policy. Most schedules grade down during this time."
I  need  to  purchase  disability  insurance  for  our  library  can  you  help?," Yes, we can help you however I will need to get more information. First, what state are you located in? I have to be sure what products are available to you. Second, I would like to find out why you are not happy so we can make sure we can provide you the service you require. Feel free to reach me at matt@pegasusii.com or call me at (720)708-5498. Thank you."
